draft_year,pick,player,cluster,cluster_label,pca_x,pca_y,age_at_draft,height,weight,wingspan,has_combine,pos,ws_first4,surplus
2001,13,Richard Jefferson,0,wings/mid-size,0.8273801353880225,-0.06342907950780777,21.0,79.25,223.0,84.0,True,SF,28.0,19.429523809523808
2001,14,Troy Murphy,1,bigs,1.3879673269490915,0.04279614833187583,21.0,81.75,230.0,83.0,True,PF,14.4,6.468571428571429
2001,15,Steven Hunter,1,bigs,2.249613073109517,-0.974572568553659,20.0,82.25,224.0,88.0,True,C,5.1,-2.360952380952381
2001,16,Kirk Haston,1,bigs,1.564763889416995,0.5779088334263977,22.0,80.0,242.0,84.25,True,PF,-0.6000000000000001,-7.859047619047619
2001,17,Michael Bradley,1,bigs,1.7087484722389146,-0.40181324357704207,22.0,81.5,227.0,85.5,True,PF,1.8,-5.424761904761906
2001,18,Jason Collins,1,bigs,3.0894807565696736,0.05285325780862147,23.0,82.25,251.0,88.5,True,C,16.5,9.536190476190477
2001,19,Zach Randolph,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,20.0,77.75,214.0,82.75,False,PF,15.5,7.664761904761905
2001,20,Brendan Haywood,1,bigs,4.202345616138237,0.18713478938218203,22.0,83.75,266.0,90.5,True,C,17.1,9.153333333333334
2001,21,Joseph Forte,2,small guards,-1.8387655949646007,-0.023114733057177705,20.0,75.5,193.0,78.5,True,SG,-0.4,-8.316190476190474
2001,22,Jeryl Sasser,0,wings/mid-size,-0.6366161128238862,-0.8061082890353299,22.0,77.5,194.0,82.5,True,SG,0.7000000000000001,-6.797142857142856
2001,23,Brandon Armstrong,2,small guards,-1.4265926837350582,-0.6520423340637117,21.0,75.5,188.0,81.5,True,SG,-0.6,-7.879999999999999
2001,24,Raül López,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,PG,2.1,-4.777142857142858
