draft_year,pick,player,wiki_title,views_predraft,hype,surplus
2018,2,Marvin Bagley III,Marvin Bagley III,483935.0,5.684787930477719,-9.244047619047619
2018,3,Luka Dončić,Luka Dončić,700717.0,5.845543273766258,12.973333333333333
2018,4,Jaren Jackson Jr.,Jaren Jackson Jr.,126171.0,5.100962987279828,-1.0095238095238095
2018,5,Trae Young,Trae Young,716374.0,5.855140421465806,12.458095238095236
2018,6,Mo Bamba,Mo Bamba,1755.0,3.244524511570084,-1.2333333333333325
2018,7,Wendell Carter Jr.,Wendell Carter Jr.,0.0,0.0,2.359047619047617
2018,8,Collin Sexton,Collin Sexton,149165.0,5.173669843947006,-5.297142857142858
2018,9,Kevin Knox,Kevin Knox II,0.0,0.0,-10.266666666666666
2018,10,Mikal Bridges,Mikal Bridges,133910.0,5.126816253211296,15.246666666666668
2018,11,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,44578.0,4.6491303221219455,7.882857142857143
2018,12,Miles Bridges,Miles Bridges,136252.0,5.134346073290715,6.800000000000001
2018,13,Jerome Robinson,Jerome Robinson,1669.0,3.2227164711475833,-8.67047619047619
2018,14,Michael Porter Jr.,Michael Porter Jr.,400021.0,5.602083876867621,1.6685714285714282
2018,15,Troy Brown Jr.,Troy Brown Jr.,16072.0,4.206096944706567,-2.56095238095238
2018,16,Zhaire Smith,Zhaire Smith,2015.0,3.3044905277734875,-7.259047619047619
2018,17,Donte DiVincenzo,Donte DiVincenzo,301411.0,5.479160538721941,1.975238095238094
2018,18,Lonnie Walker IV,Lonnie Walker IV,22.0,1.3617278360175928,-5.063809523809523
2018,19,Kevin Huerter,Kevin Huerter,621.0,2.7937903846908188,1.6647619047619049
2018,20,Josh Okogie,Josh Okogie,2327.0,3.3669829759778507,-2.546666666666667
2018,21,Grayson Allen,Grayson Allen,585114.0,5.767241231820727,0.18380952380952653
2018,22,Chandler Hutchison,Chandler Hutchison,4552.0,3.6582976503081897,-6.297142857142856
2018,23,Aaron Holiday,Aaron Holiday,96894.0,4.986301367056596,-2.579999999999999
2018,24,Anfernee Simons,Anfernee Simons,8868.0,3.947874654897698,-2.8771428571428572
2018,25,Moritz Wagner,Moritz Wagner (basketball),324686.0,5.511464900448334,-1.128571428571429
2018,26,Landry Shamet,Landry Shamet,12198.0,4.086324231307385,3.926666666666666
2018,27,Robert Williams,Robert Williams III,0.0,0.0,12.102105263157894
2018,28,Jacob Evans,Jacob Evans,1353.0,3.1316186643491255,-7.243609022556392
2018,29,Džanan Musa,Džanan Musa,35007.0,4.5441673003173175,-5.884561403508773
2018,30,Omari Spellman,Omari Spellman,26146.0,4.417421866886405,-2.4245614035087724
2018,31,Elie Okobo,Élie Okobo,3451.0,3.538070787043172,-4.026466165413533
2018,32,Jevon Carter,Jevon Carter,103379.0,5.0144365278316725,0.3104761904761908
2018,33,Jalen Brunson,Jalen Brunson,257983.0,5.411592772136938,13.471428571428572
2018,34,Devonte' Graham,Devonte' Graham,90142.0,4.95493200749317,6.453333333333333
2018,35,Melvin Frazier,Melvin Frazier,754.0,2.8779469516291885,-4.29047619047619
2018,36,Mitchell Robinson,Mitchell Robinson,65142.0,4.813867755049314,20.365714285714287
2018,37,Gary Trent Jr.,Gary Trent Jr.,89401.0,4.951347234447463,5.296190476190476
2018,38,Khyri Thomas,Khyri Thomas,3062.0,3.4861469968065726,-3.5838095238095233
2018,39,Isaac Bonga,Isaac Bonga,10413.0,4.017617573339674,-2.223809523809524
2018,40,Rodions Kurucs,Rodions Kurucs,13632.0,4.134591434710877,-1.5761904761904755
2018,41,Jarred Vanderbilt,Jarred Vanderbilt,22521.0,4.352606954136521,5.818095238095237
2018,42,Bruce Brown,Bruce Brown (basketball),8.0,0.9542425094393249,9.600952380952382
2018,43,Justin Jackson,"Justin Jackson (basketball, born 1995)",166553.0,5.22155506727077,1.1542857142857144
2018,44,Issuf Sanon,Issuf Sanon,3187.0,3.5035183127240748,-2.927619047619048
2018,45,Hamidou Diallo,Hamidou Diallo,75320.0,4.876916077297879,2.200952380952381
2018,46,De'Anthony Melton,De'Anthony Melton,5926.0,3.772834927239018,5.1342857142857135
2018,47,Svi Mykhailiuk,Sviatoslav Mykhailiuk,47632.0,4.677907934911046,0.040000000000000036
2018,48,Keita Bates-Diop,Keita Bates-Diop,37332.0,4.572092890303906,1.0466666666666669
2018,49,Chimezie Metu,Chimezie Metu,861.0,2.9355072658247128,-0.05809523809523798
2018,50,Alize Johnson,Alize Johnson,5134.0,3.710540447933297,-0.6266666666666665
2018,51,Tony Carr,Tony Carr (basketball),13539.0,4.1316186643491255,-1.6295238095238094
2018,52,Vince Edwards,Vincent Edwards (basketball),12040.0,4.0806625563941825,-1.2276190476190476
2018,53,Devon Hall,Devon Hall,1414.0,3.150756439860309,-1.136190476190476
2018,54,Shake Milton,Shake Milton,8135.0,3.910410939914688,6.073333333333333
