draft_year,pick,player,season,season_index,ws
2001,40,Earl Watson,2003.0,2.0,2.3
2001,38,Mehmet Okur,2003.0,2.0,3.8
2001,37,Damone Brown,2003.0,2.0,-0.2
2000,33,Jake Voskuhl,2003.0,3.0,2.5
2000,32,A.J. Guyton,2003.0,3.0,-0.1
2000,31,Dan Langhi,2003.0,3.0,0.4
2002,3,Mike Dunleavy,2003.0,1.0,1.5
2002,2,Jay Williams,2003.0,1.0,0.8
2002,1,Yao Ming,2003.0,1.0,8.7
2001,54,Kenny Satterfield,2003.0,2.0,-1.0
2001,53,Jarron Collins,2003.0,2.0,0.7
2001,51,Alton Ford,2003.0,2.0,-0.1
2000,14,Mateen Cleaves,2003.0,3.0,-0.4
2000,13,Courtney Alexander,2003.0,3.0,1.1
2000,12,Etan Thomas,2003.0,3.0,1.3
2002,4,Drew Gooden,2003.0,1.0,1.7
2000,30,Marko Jarić,2003.0,3.0,1.9
2000,29,Mark Madsen,2003.0,3.0,1.1
2000,8,Jamal Crawford,2003.0,3.0,2.8
2000,7,Chris Mihm,2003.0,3.0,0.9
2001,36,Jeff Trepagnier,2003.0,2.0,0.2
2001,2,Tyson Chandler,2003.0,2.0,3.9
2001,1,Kwame Brown,2003.0,2.0,2.5
2000,51,Igor Rakočević,2003.0,3.0,0.1
2001,50,Ruben Boumtje-Boumtje,2003.0,2.0,0.0
2001,49,Ken Johnson,2003.0,2.0,0.0
2001,46,Loren Woods,2003.0,2.0,0.4
2001,45,Sean Lampley,2003.0,2.0,0.9
2001,42,Bobby Simmons,2003.0,2.0,0.9
2000,44,Brian Cardinal,2003.0,3.0,0.0
2000,43,Michael Redd,2003.0,3.0,8.0
2000,42,Olumide Oyedeji,2003.0,3.0,0.3
2000,18,Quentin Richardson,2003.0,3.0,1.0
2000,4,Marcus Fizer,2003.0,3.0,1.4
2000,3,Darius Miles,2003.0,3.0,-1.3
2000,17,Desmond Mason,2003.0,3.0,5.2
2000,16,Hedo Türkoğlu,2003.0,3.0,2.6
2000,23,DeShawn Stevenson,2003.0,3.0,-0.1
2000,22,Donnell Harvey,2003.0,3.0,2.0
2001,10,Joe Johnson,2003.0,2.0,2.8
2001,9,Rodney White,2003.0,2.0,-0.4
2000,27,Primož Brezec,2003.0,3.0,0.1
2000,26,Mamadou N'Diaye,2003.0,3.0,0.6
2000,25,Jake Tsakalidis,2003.0,3.0,0.9
2000,24,Dalibor Bagarić,2003.0,3.0,-0.1
2000,5,Mike Miller,2003.0,3.0,4.0
2000,19,Jamaal Magloire,2003.0,3.0,6.7
2000,18,Quentin Richardson,2004.0,4.0,2.4
2000,6,DerMarr Johnson,2004.0,4.0,0.4
2000,19,Jamaal Magloire,2004.0,4.0,7.6
2000,5,Mike Miller,2004.0,4.0,3.9
2000,25,Jake Tsakalidis,2004.0,4.0,1.2
2000,26,Mamadou N'Diaye,2004.0,4.0,0.8
2000,27,Primož Brezec,2004.0,4.0,0.1
2003,37,Travis Hansen,2004.0,1.0,0.2
2003,38,Steve Blake,2004.0,1.0,0.7
2001,11,Kedrick Brown,2004.0,3.0,2.0
2001,9,Rodney White,2004.0,3.0,1.8
2001,10,Joe Johnson,2004.0,3.0,3.3
2000,22,Donnell Harvey,2004.0,4.0,0.7
2000,23,DeShawn Stevenson,2004.0,4.0,1.5
2000,16,Hedo Türkoğlu,2004.0,4.0,6.7
2000,17,Desmond Mason,2004.0,4.0,5.7
2000,3,Darius Miles,2004.0,4.0,3.6
2000,43,Michael Redd,2004.0,4.0,9.7
2000,44,Brian Cardinal,2004.0,4.0,7.2
2001,42,Bobby Simmons,2004.0,3.0,2.0
2001,45,Sean Lampley,2004.0,3.0,0.2
2001,46,Loren Woods,2004.0,3.0,1.1
2001,50,Ruben Boumtje-Boumtje,2004.0,3.0,0.0
2000,45,Jabari Smith,2004.0,4.0,0.0
2000,49,Jason Hart,2004.0,4.0,1.9
2000,50,Kaniel Dickens,2004.0,4.0,0.0
2001,1,Kwame Brown,2004.0,3.0,4.9
2001,2,Tyson Chandler,2004.0,3.0,1.9
2001,36,Jeff Trepagnier,2004.0,3.0,-0.2
2000,7,Chris Mihm,2004.0,4.0,2.9
2000,8,Jamal Crawford,2004.0,4.0,4.1
