draft_year,pick,player,Rd,Tm,College,ws_career,ws_first4,n_seasons_first4,first_season,pos,age_at_draft,matched
2015,52,Satnam Singh,3,DAL,,,0.0,0,,,,False
2015,53,Sir'Dominic Pointer,3,CLE,St. John's,,0.0,0,,,,False
2015,54,Dani Díez,3,UTA,,,0.0,0,,,,False
2015,55,Cady Lalanne,3,SAS,UMass,,0.0,0,,,,False
2015,57,Nikola Radičević,3,DEN,,,0.0,0,,,,False
2015,58,J.P. Tokoto,3,PHI,UNC,,0.0,0,,,,False
2015,59,Dimitrios Agravanis,3,ATL,,,0.0,0,,,,False
2015,60,Luka Mitrović,3,PHI,,,0.0,0,,,,False
2016,35,Rade Zagorac,3,BOS,,,0.0,0,,,,False
2016,39,David Michineau,3,NOP,,,0.0,0,,,,False
2016,44,Isaïa Cordinier,3,ATL,,,0.0,0,,,,False
2016,53,Petr Cornelie,3,DEN,,0.0,0.0,0,,,,False
2016,57,Wang Zhelin,3,MEM,,,0.0,0,,,,False
2016,59,Isaiah Cousins,3,SAC,Oklahoma,,0.0,0,,,,False
2017,50,Mathias Lessort,3,PHI,,,0.0,0,,,,False
2017,57,Sasha Vezenkov,3,BRK,,1.0,0.0,0,,,,False
2017,58,Ognjen Jaramaz,3,NYK,,,0.0,0,,,,False
2017,60,Alpha Kaba,3,ATL,,,0.0,0,,,,False
2018,44,Issuf Sanon,3,WAS,,,0.0,0,,,,False
2018,51,Tony Carr,3,NOP,Penn State,,0.0,0,,,,False
2019,56,Jaylen Hands,3,LAC,UCLA,,0.0,0,,,,False
2019,60,Vanja Marinković,3,SAC,,,0.0,0,,,,False
2020,47,Yam Madar,3,BOS,,,0.0,0,,,,False
2020,51,Justinian Jessup,3,GSW,Boise State,,0.0,0,,,,False
