draft_year,pick,player,wiki_title,resolved,views_predraft,months_with_data
2018,11,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,True,44578.0,11
2018,12,Miles Bridges,Miles Bridges,True,136252.0,11
2018,13,Jerome Robinson,Jerome Robinson,True,1669.0,2
2018,14,Michael Porter Jr.,Michael Porter Jr.,True,400021.0,11
2018,15,Troy Brown Jr.,Troy Brown Jr.,True,16072.0,11
2018,16,Zhaire Smith,Zhaire Smith,True,2015.0,1
2018,17,Donte DiVincenzo,Donte DiVincenzo,True,301411.0,3
2018,18,Lonnie Walker IV,Lonnie Walker IV,True,22.0,2
2018,19,Kevin Huerter,Kevin Huerter,True,621.0,1
2018,20,Josh Okogie,Josh Okogie,True,2327.0,2
2018,21,Grayson Allen,Grayson Allen,True,585114.0,11
2018,22,Chandler Hutchison,Chandler Hutchison,True,4552.0,2
2018,23,Aaron Holiday,Aaron Holiday,True,96894.0,11
2018,24,Anfernee Simons,Anfernee Simons,True,8868.0,3
2018,25,Moritz Wagner,Moritz Wagner (basketball),True,324686.0,11
2018,26,Landry Shamet,Landry Shamet,True,12198.0,6
2018,27,Robert Williams,Robert Williams III,True,0.0,0
2018,28,Jacob Evans,Jacob Evans,True,1353.0,2
2018,29,Džanan Musa,Džanan Musa,True,35007.0,11
2018,30,Omari Spellman,Omari Spellman,True,26146.0,3
2018,31,Elie Okobo,Élie Okobo,True,3451.0,2
2018,32,Jevon Carter,Jevon Carter,True,103379.0,10
2018,33,Jalen Brunson,Jalen Brunson,True,257983.0,11
2018,34,Devonte' Graham,Devonte' Graham,True,90142.0,11
2018,35,Melvin Frazier,Melvin Frazier,True,754.0,2
2018,36,Mitchell Robinson,Mitchell Robinson,True,65142.0,11
2018,37,Gary Trent Jr.,Gary Trent Jr.,True,89401.0,11
2018,38,Khyri Thomas,Khyri Thomas,True,3062.0,2
2018,39,Isaac Bonga,Isaac Bonga,True,10413.0,11
2018,40,Rodions Kurucs,Rodions Kurucs,True,13632.0,11
2018,41,Jarred Vanderbilt,Jarred Vanderbilt,True,22521.0,11
2018,42,Bruce Brown,Bruce Brown (basketball),True,8.0,2
2018,43,Justin Jackson,"Justin Jackson (basketball, born 1995)",True,166553.0,11
2018,44,Issuf Sanon,Issuf Sanon,True,3187.0,4
2018,45,Hamidou Diallo,Hamidou Diallo,True,75320.0,11
2018,46,De'Anthony Melton,De'Anthony Melton,True,5926.0,3
